城市,门店名称,区域(组合后),地址,评分(留空),标签(剔除)
上海市,上海华尔康口腔医院,上海市-松江区,上海市松江区乐都路188弄1-6号,,
上海市,上海摩尔亚美口腔门诊部,上海市-浦东新区,上海市浦东新区张杨路2566号（崮山路）,,
上海市,上海摩尔口腔医院,上海市-普陀区,上海市普陀区梅川路1293号（真光路）,,
上海市,上海摩尔同乐口腔医院,上海市-闵行区,上海市闵行区七莘路1318号1幢强劲大厦7层（黎安路）,,
上海市,上海摩尔星华口腔医院,上海市-宝山区,上海市宝山区逸仙路1328号新业坊5号楼（殷高西路）,,
上海市,上海摩尔星康口腔医院,上海市-黄浦区,上海市黄浦区新闸路158号1-2层,,
上海市,上海摩尔星汇口腔医院,上海市-上海徐汇区,上海徐汇区漕宝路33号，日月光C座6L.,,
上海市,上海摩尔星浦口腔医院,上海市-青浦区,上海市青浦区盈浦街道观云路372弄54号1-5层（万达茂对面）,,
上海市,上海摩尔星象口腔医院,上海市-静安区,上海市静安区北京西路1271号2-4层,,
上海市,上海摩尔星贤口腔医院,上海市-奉贤区,上海市奉贤区环城东路793号4楼（航南公路，环城东路地铁站2号口处）,,
上海市,上海摩尔星辰口腔医院,上海市-浦东新区,上海市浦东新区浦建路15号新塘桥生活广场（塘桥地铁站4号口处）,,
上海市,上海摩尔星际口腔门诊部,上海市-浦东新区,上海市浦东新区张杨路3611弄1号金桥国际商业广场3楼325室（1座3楼）,,
上海市,上海摩尔申洁口腔医院,上海市-静安区,上海市静安区江场西路300号1幢,,
上海市,华尔康口腔（松江泗泾店）,上海市-松江区,上海市松江区泗泾镇泗凤公路与横港公路交叉口栋200米,,
上海市,上海久翎口腔门诊部有限公司,上海市-嘉定区,上海市嘉定区柳湖路299弄5号101室、102室,,
上海市,上海摩瓦口腔,上海市-浦东新区,上海市浦东新区上南路3064-3072（双）号1-3层,,
上海市,上海艾德口腔门诊部有限公司,上海市-静安区,上海市静安区场中路1999-3号,,
上海市,健齿口腔门诊部,上海市-浦东新区,浦东新区昌里东路111号,,
上海市,华尔康口腔(青浦总院),上海市-青浦区,上海市青浦区青湖路788号,,
上海市,华尔康口腔（宝山总院）,上海市-宝山区,宝山区年吉路100弄12号301、302、303、304、305,,
上海市,华尔康口腔（宝山殷高西路店）,上海市-宝山区,上海市宝山区高逸路7-29号1幢203、205、206、207室,,
上海市,华尔康口腔（松江九杜路店）,上海市-松江区,上海市松江区沪松公路1510号一层106、107室,,
上海市,华尔康口腔（松江吾悦广场店）,上海市-松江区,上海市松江区永丰街道玉树路2579号,,
上海市,华尔康口腔（松江新桥店）,上海市-松江区,上海市松江区新桥镇新镇街999弄997号1-2层,,
上海市,华尔康口腔（松江车墩店）,上海市-松江区,上海市松江区车墩镇影视路55-59号,,
上海市,华尔康口腔（虹口福鑫店）,上海市-虹口区,上海市虹口区东宝兴路915号底层、二层,,
上海市,华尔康口腔（闵行田林路店）,上海市-闵行区,上海市闵行区田林路1449号,,
上海市,华盛口腔门诊部,上海市-浦东新区,浦东新区上南路3019号,,
上海市,华茂口腔门诊部,上海市-杨浦区,杨浦区长海一村53号,,
上海市,华齿华开口腔门诊部,上海市-杨浦区,杨浦区开鲁路329号,,
上海市,华齿华驰口腔门诊部,上海市-黄浦区,黄浦区复兴东路1117号,,
上海市,华齿古思口腔门诊部,上海市-金山区,金山区枫泾镇思古弄118-122号,,
上海市,华齿国定口腔门诊部,上海市-杨浦区,杨浦区国定路335号（颐高数码广场3楼）邯郸路路口,,
上海市,华齿奉南口腔门诊部,上海市-奉贤区,奉贤区南桥镇百齐路288号（南桥百联购物中心二期四楼，电影院对面）,,
上海市,华齿尚仁口腔门诊部,上海市-松江区,松江区环城路260号（近中山东路）,,
上海市,华齿尚荟口腔医院,上海市-徐汇区,徐汇区肇嘉浜路989号1层,,
上海市,华齿沪齿口腔门诊部,上海市-杨浦区,杨浦区江浦路2143路,,
上海市,华齿皓准口腔门诊部,上海市-金山区,金山区朱泾镇临源街396号（靠近朱泾第二小学东校区）,,
上海市,博恒口腔,上海市-静安区,上海市静安区场中路2216、2218、2220、2222号一层,,
上海市,平文口腔,上海市-浦东新区,浦东新区惠南镇靖海路539号2层、541号2层、543号2层、545号1-2层,,
上海市,明皓口腔门诊部,上海市-浦东新区,浦东新区三林路1498-1518号,,
上海市,爱齿口腔门诊部,上海市-杨浦区,杨浦区平凉路1127号（距眉州路180米）,,
上海市,维乐口腔 万盛门诊,上海市-长宁区,上海市长宁区定西路467号（近新华路）,,
上海市,维乐口腔 埃齐门诊,上海市-静安区,上海市静安区昌平路535号,,
上海市,维乐口腔 美维馨门诊,上海市-普陀区,上海市普陀区远景路662号万业远景大厦B座2楼202-206,,
上海市,长康口腔门诊部,上海市-杨浦区,杨浦区长阳路1945-1949号（距双阳路50米）,,
上海市,上海泰康拜博万尔口腔门诊部,上海市-闵行区,上海市闵行区申长路988弄虹桥万科中心商场2层T2-203-205号单元,,
上海市,上海泰康拜博丽德口腔门诊部,上海市-长宁区,上海市长宁区淞虹路377号L2层T2-N02室,,
上海市,上海泰康拜博六和口腔门诊部,上海市-杨浦区,上海市杨浦区大连路1192号,,
上海市,上海泰康拜博凯尔口腔诊所,上海市-长宁区,长宁区凯旋路1398号8号楼401-501室,,
上海市,上海泰康拜博南尔口腔门诊部,上海市-奉贤区,上海市奉贤区南桥路366号,,
上海市,上海泰康拜博博尔口腔门诊部,上海市-黄浦区,上海市黄浦区徐家汇路338号3楼,,
上海市,上海泰康拜博口腔医院,上海市-黄浦区,上海市黄浦区西藏中路18号港陆广场4楼、5楼、六楼,,
上海市,上海泰康拜博吉尔口腔门诊部,上海市-闵行区,上海市闵行区虹井路288号乐虹坊3楼,,
上海市,上海泰康拜博宝尔口腔门诊部,上海市-宝山区,上海市宝山区牡丹江路1272号6楼,,
上海市,上海泰康拜博广尔口腔门诊部,上海市-闵行区,闵行区漕宝路3366号L4层L424B,,
上海市,上海泰康拜博康乾口腔门诊部,上海市-宝山区,上海市宝山区殷高西路510号2楼,,
上海市,上海泰康拜博悦尔口腔门诊部,上海市-嘉定区,上海市嘉定区白银路288弄77号501室,,
上海市,上海泰康拜博昌森口腔门诊部,上海市-静安区,静安区万航渡路889号889广场3层L3-09室,,
上海市,上海泰康拜博星尔口腔门诊部,上海市-普陀区,上海市普陀区中山北路3300号4157室（环球港4楼）,,
上海市,上海泰康拜博松尔口腔门诊部,上海市-松江区,上海市松江区光星路1572号,,
上海市,上海泰康拜博浦尔口腔门诊部,上海市-徐汇区,上海市徐汇区浦北路9号家乐福4楼,,
上海市,上海泰康拜博淞耀口腔医院,上海市-杨浦区,上海市杨浦区淞沪路234号201-209室,,
上海市,上海泰康拜博臻尔口腔诊所,上海市-松江区,上海市松江区广富林路1788弄1号3层L326号单元,,
上海市,上海泰康拜博荣尔口腔门诊部,上海市-静安区,"上海市静安区共和新路1898号406、407单元大宁国际商业广场5座(近大宁路,地铁1号线延长路站)",,
上海市,上海泰康拜博虹尔口腔门诊部,上海市-虹口区,上海市虹口区天宝路280弄17号B1-20,,
上海市,上海泰康拜博静尔口腔门诊部,上海市-静安区,上海市静安区愚园路68号晶品大厦5-13,,
上海市,上海泰康拜博龙尔口腔门诊部,上海市-虹口区,上海市虹口区西江湾路388号凯德龙之梦购物中心B座四楼04-12,,
上海市,上海泰康拜尔口腔门诊部,上海市-长宁区,上海市长宁区长宁路1018号5楼,,
上海市,华尔康口腔（松江九亭店）,上海市-松江区,上海市松江区九亭镇九亭大街504号,,
上海市,维乐口腔 杨浦医院,上海市-杨浦区,上海市杨浦区翔殷路999号3号楼5层,,
上海市,维乐口腔 维乐怡门诊,上海市-浦东新区,上海市浦东新区孙建路480弄25-31号1层,,
上海市,维佳康口腔（嘉尔机构）,上海市-青浦区,青浦区嘉松中路5386弄绿洲智谷花园里北区L3-01\02-A,,
上海市,维佳康口腔（宝山机构）,上海市-宝山区,上海市宝山区经地路99弄经纬汇9号楼2层,,
上海市,维佳康口腔（浦尔机构）,上海市-青浦区,上海市青浦区淀浦河东路 229-237 号,,
上海市,维佳康口腔（虹口机构）,上海市-上海虹口区,上海虹口区公平路 772 号,,
上海市,维佳康口腔（青尔机构）,上海市-青浦区,上海市青浦区盈港路 580 号,,
