城市,门店名称,区域(组合后),地址,评分(留空),标签(剔除)
安阳市,安阳千博口腔,安阳市-文峰区,河南省安阳市文峰区曙光路与德隆街交叉口向西100米路南,,
安阳市,安阳曜白口腔门诊部有限公司,安阳市-文峰区,河南省安阳市文峰区东风路与文昌大道交叉口向北300米水天苑C区南门,,
安阳市,安阳雅之道口腔医院有限公司,安阳市-文峰区,河南省安阳市文峰区灯塔路与兴泰路交叉口东北角关巢蓝钻小区一号楼128号商铺,,
安阳市,德佑口腔(体育场店),安阳市-未知区域,河南省安阳市林州市河南省安阳市林州市开元街道长安路体育场北侧24号,,
安阳市,德佑口腔(太行路店),安阳市-未知区域,河南省安阳市林州市龙山街道阜民街中段（运通宾馆楼）下16号,,
安阳市,植得口腔(安阳院区),安阳市-文峰区,安阳市文峰区永明路与迎春东街交叉口向南70米路西万达华府2区5号楼1单元1层,,
安阳市,植得口腔安阳院区,安阳市-文峰区,河南省安阳市文峰区永明路与迎春东街交叉口安阳植得口腔,,
安阳市,殷都莱安雅口腔门诊部(安阳分院),安阳市-殷都区,河南省安阳市殷都区芳林街西段花园庄新社区2号门面,,
安阳市,民安口腔,安阳市-北关区,河南省安阳市北关区人民大道与平原路交叉口东北角红旗渠广场水晶超市二楼,,
安阳市,添悦口腔(人民大道院区),安阳市-北关区,河南省安阳市北关区红星路18号,,
安阳市,添悦口腔(安钢院区),安阳市-殷都区,河南省安阳市殷都区钢二路10号,,
安阳市,添悦口腔(帕提欧院区)),安阳市-龙安区,河南省安阳市龙安区铁二路与凤阳街交叉口西南20米,,
鞍山市,优一口腔,鞍山市-立山区,辽宁省鞍山市立山区园林大道581号鞍钢田园外商铺,,
鞍山市,臻爱口腔(湖南店),鞍山市-铁东区,辽宁省鞍山市铁东区湖南街1-75-52,,
鞍山市,臻爱口腔(铁东部),鞍山市-铁东区,辽宁省鞍山市铁东区胜利南路1485,,
鞍山市,臻爱口腔亚太种植牙中心(立山部),鞍山市-立山区,辽宁省鞍山市立山区胜利路3-25-235-4,,
安庆市,安庆华棋口腔门诊部,安庆市-迎江区,安徽省安庆市迎江区华中东路水岸花都D7栋,,
安庆市,安庆华棋江玲口腔诊所,安庆市-迎江区,安徽省安庆市迎江区华中西路80号,,
安庆市,安庆宜秀华棋口腔门诊部,安庆市-宜秀区,安徽省安庆市宜秀区润城尚郡商业街1栋5室,,
安庆市,安庆市宜秀鼎爱口腔门诊部,安庆市-宜秀区,安徽省安庆市宜秀区天柱山东路恒大珺睿府1层80-82室,,
安庆市,安庆朱小龙口腔4812总部,安庆市-宜秀区,安徽省安庆市宜秀区中兴大街73号,,
安庆市,安庆朱小龙口腔光彩门诊,安庆市-宜秀区,安徽省安庆市宜秀区天柱山东路金桂丽园6-11号,,
安庆市,安庆朱小龙口腔绿地东院区,安庆市-迎江区,安徽省安庆市迎江区迎江世纪城一期B区,,
安庆市,安庆朱小龙口腔菱湖门诊,安庆市-迎江区,安徽省安庆市迎江区菱湖南路御景国际1号楼,,
安庆市,安庆渡江口腔医院,安庆市-迎江区,安徽省安庆市迎江区华中路吾悦华府二期南大门 S5栋1189号,,
安庆市,安庆鼎爱口腔门诊,安庆市-宜秀区,安徽省安庆市宜秀区菱北街道中兴大街122-3号,,
安庆市,望江县景鹏口腔门诊部,安庆市-望江县,安徽省安庆市望江县华阳镇雷阳路碧秀花苑C11-1号,,
安庆市,潜山吴丹口腔门诊部,安庆市-未知区域,安徽省安庆市潜山市中诺恒太城2号楼2层01室,,
安庆市,贝尔口腔,安庆市-宿松县,安徽省安庆市宿松县孚玉中路（黄商超市对面）,,
安庆市,赵帮树口腔(银杏口腔门诊部),安庆市-桐城经济开发区,安徽省安庆市桐城市桐城经济开发区兴元社区龙池路银杏公寓110号,,
阿拉善盟市,方舟口腔,阿拉善盟市-阿拉善盟阿拉善左旗绿色之光南区,内蒙古自治区阿拉善盟阿拉善左旗绿色之光南区商业城,,
安康市,兔博士口腔安康分院,安康市-汉滨区,安康市汉滨区党校路中段西侧,,
安康市,兔博士口腔安康高新分院,安康市-高新区,安康市高新区花园大道现代城22号楼9号,,
亳州市,三爱口腔(利辛店),亳州市-利辛县,安徽省亳州市利辛县城关镇前进路西段,,
亳州市,兴华口腔(汤王院区),亳州市-谯城区,安徽省亳州市谯城区汤王大道兴华医院（一楼）,,
亳州市,好牙依口腔南湖店,亳州市-谯城区,安徽省亳州市谯城区高新区玫瑰园1号楼103-104号,,
亳州市,小天使口腔(光明路店),亳州市-谯城区,安徽省亳州市谯城区光明路65号,,
亳州市,小天使口腔(华富广场店),亳州市-谯城区,安徽省亳州市谯城区亳州市高新技术产业开发区南湖华富广场6栋117-124号,,
亳州市,小天使口腔(建安广场店),亳州市-谯城区,安徽省亳州市谯城区药都大道府南花园2号楼105号,,
亳州市,康齿佳口腔门诊部,亳州市-涡阳县,安徽省亳州市涡阳县乐行路旭日华城南门康齿佳口腔门诊,,
亳州市,贝德口腔医院(蒙城分店),亳州市-蒙城县,安徽省亳州市蒙城县牛群商贸城二期c区1号楼102铺,,
亳州市,邵氏福盛口腔(世纪花园店),亳州市-高新区,安徽省亳州市高新区汤王大道世纪花园30#103,,
亳州市,邵氏福盛口腔(光明路店),亳州市-谯城区,安徽省亳州市谯城区光明路173号,,
亳州市,邵氏福盛口腔门诊部(万达店),亳州市-经开区,安徽省毫州市经开区万达广场C21号商铺117、118、217、218铺,,
蚌埠市,三爱口腔门诊(龙子湖店),蚌埠市-龙子湖区,安徽省蚌埠市龙子湖区解放路199号香樟花园门面房,,
蚌埠市,名仁口腔,蚌埠市-禹会区,安徽省蚌埠市禹会区红旗一路秀水二村554-556号,,
蚌埠市,壹心口腔门诊部,蚌埠市-蚌山区,安徽省蚌埠市蚌山区凤凰国际广场B座1层101、111号商铺,,
蚌埠市,牙美植口腔,蚌埠市-五河县,安徽省蚌埠市五河县城关镇五河老一中旁，翰林公馆东门s1-112-1,,
蚌埠市,瑞雅口腔门诊部(淮海路店),蚌埠市-怀远县,安徽省蚌埠市怀远县淮海路东方红小区199号门面房,,
蚌埠市,瑞雅四桥口腔门诊部,蚌埠市-怀远县,安徽省蚌埠市怀远县荆山镇三清百汇财富城8号楼,,
蚌埠市,瑞雅老西门口腔,蚌埠市-怀远县,安徽省蚌埠市怀远县荆山镇西关老汽车站商铺S1007,,
蚌埠市,蚌埠爱牙乐口腔门诊部,蚌埠市-龙子湖区,安徽省蚌埠市龙子湖区大学城汤和路湖光小区西门,,
蚌埠市,蚌埠皓芽口腔,蚌埠市-蚌山区,安徽省蚌埠市蚌山区兴业街792号三星集团楼下,,
北海市,北海蓝天口腔医院,北海市-海城区,广西壮族自治区北海市海城区北盛旅游商业中心（北部湾西路7号，旁边7天优品酒店）,,
北海市,安喜蓝刺猬口腔门诊部,北海市-海城区,广西壮族自治区北海市海城区和平路91号工人文化宫一楼（中山公园正门对面）,,
北海市,安囍口腔(北京路机构),北海市-海城区,广西壮族自治区北海市海城区北京路63号华杰·春秋源(宁春城对面京泰路路口处）,,
北海市,安囍茶亭路口腔门诊部,北海市-海城区,广西壮族自治区北海市海城区茶亭路31号富丽华海御一楼商铺（富丽华酒店旁）,,
北京市,8020拜尔口腔门诊部(朝阳路店),北京市-朝阳区,北京市朝阳区新街大院甲8号1幢2层201室,,
北京市,BellaTooth贝拉图斯口腔门诊,北京市-朝阳区,北京市朝阳区日坛北路17号院2号楼1层1011,,
北京市,东直门口腔(看丹桥店),北京市-丰台区,北京市丰台区韩庄子二里17号楼一层118号,,
北京市,乾德兰怡口腔(华贸天地店),北京市-朝阳区,北京市朝阳区清河营南街7号院7号楼1层138号,,
北京市,乾德齿科(国泰生活广场店),北京市-顺义区,北京市顺义区天竺镇首都机场南平街6号1-07,,
北京市,乾德齿科(水木店),北京市-顺义区,北京市顺义区空港街道水木兰亭花园甲1号楼1层1-1B室,,
北京市,乾德齿科(谊宾店),北京市-顺义区,北京市顺义区站前北街9号13幢一层104A室,,
北京市,京德口腔医院,北京市-海淀区,北京市海淀区西山锦绣府嘉木园北门西60米,,
北京市,优合口腔门诊部,北京市-朝阳区,北京市朝阳区亮马桥路二十一世纪大厦一楼,,
北京市,劲松口腔牡丹园分院(牡丹园分院),北京市-海淀区,北京市北京市海淀区花园东路31号4号楼1层102室,,
北京市,劲松齿科(三里屯院),北京市-朝阳区,北京市朝阳区工体北路2号,,
北京市,劲松齿科(中街分院),北京市-朝阳区,"北京市朝阳区劲松路1号1层1-2，2层1-4,3层1-6",,
北京市,劲松齿科(五棵松店),北京市-海淀区,北京市海淀区华熙Live广场A座,,
北京市,劲松齿科(亚运村店),北京市-朝阳区,北京市朝阳区安立路慧忠里103号楼洛克时代中心B座1层,,
北京市,劲松齿科(国贸分院),北京市-朝阳区,北京市朝阳区光华路9号光华路SOHO二期A座1层底商,,
北京市,劲松齿科(国际部分院),北京市-朝阳区,北京市朝阳区建国路89号院18号楼,,
北京市,劲松齿科(外企分院),北京市-朝阳区,北京市朝阳区西大望路15号外企大厦C座4层,,
北京市,劲松齿科(望京分院),北京市-朝阳区,北京市朝阳区悠乐汇A2座,,
北京市,劲松齿科(牡丹园店),北京市-海淀区,北京市海淀区花园东路31号4号楼1层102室,,
北京市,劲松齿科(苏州桥分院),北京市-海淀区,北京市海淀区万泉河路68号紫金庄园6-7号楼一层底商,,
北京市,劲松齿科(角门店),北京市-丰台区,北京市丰台区马家堡西路15号101内一层A005、二层A007,,
北京市,北京三芽东坝口腔门诊部,北京市-朝阳区,北京市朝阳区朝新嘉园西里三区1号楼2层209，2层210,,
北京市,北京三芽口腔门诊部,北京市-石景山区,北京市石景山区鲁谷东街8号一层168号,,
北京市,北京佳和口腔门诊部(天宫院店),北京市-大兴区,北京市北京市大兴区永旺路1号院7号楼1-2层110-111,,
北京市,北京劲松口腔医院(中街分院),北京市-朝阳区,北京市北京市朝阳区朝阳区劲松二区甲226号,,
北京市,北京劲松口腔医院(亚运村分院),北京市-朝阳区,"北京市北京市朝阳区慧忠里103楼1层101B,2层2021-2037室",,
北京市,北京劲松口腔医院(国贸分院),北京市-朝阳区,"北京市北京市朝阳区朝阳光华路9号光华路9号楼1层113、114,2层214",,
北京市,北京劲松口腔医院(国际部分院),北京市-朝阳区,北京市北京市朝阳区建国路89号院18号楼L02内1-3层L02-1室,,
北京市,北京劲松口腔医院(外企分院),北京市-朝阳区,北京市北京市朝阳区西大望路15号5号楼4层办公1(04层),,
北京市,北京劲松口腔医院(望京分院),北京市-朝阳区,北京市北京市朝阳区朝阳区广顺南大街悠乐汇a2座(望京南地铁站A西北口步行390米),,
北京市,北京劲松口腔医院(苏州桥分院),北京市-海淀区,北京市北京市海淀区海淀区苏州街72号(苏州桥地铁站B口步行370米),,
