城市,门店名称,区域(组合后),地址,评分(留空),标签(剔除)
上海市,上海摩尔同乐口腔医院,上海市-闵行区,上海市闵行区七莘路1318号1幢强劲大厦7层（黎安路）,,
上海市,上海摩尔星际口腔门诊部,上海市-浦东新区,上海市浦东新区张杨路3611弄1号金桥国际商业广场3楼325室（1座3楼）,,
上海市,上海摩尔星辰口腔医院,上海市-浦东新区,上海市浦东新区浦建路15号新塘桥生活广场（塘桥地铁站4号口处）,,
上海市,上海摩尔星华口腔医院,上海市-宝山区,上海市宝山区逸仙路1328号新业坊5号楼（殷高西路）,,
上海市,上海摩尔亚美口腔门诊部,上海市-浦东新区,上海市浦东新区张杨路2566号（崮山路）,,
上海市,上海摩尔星象口腔医院,上海市-静安区,上海市静安区北京西路1271号2-4层,,
上海市,上海摩尔星贤口腔医院,上海市-奉贤区,上海市奉贤区环城东路793号4楼（航南公路，环城东路地铁站2号口处）,,
上海市,上海摩尔星浦口腔医院,上海市-青浦区,上海市青浦区盈浦街道观云路372弄54号1-5层（万达茂对面）,,
上海市,上海摩尔申洁口腔医院,上海市-静安区,上海市静安区江场西路300号1幢,,
上海市,上海摩尔星康口腔医院,上海市-黄浦区,上海市黄浦区新闸路158号1-2层,,
上海市,上海摩尔星汇口腔医院,上海市-上海徐汇区,上海徐汇区漕宝路33号，日月光C座6L.,,
上海市,华尔康口腔（松江新桥店）,上海市-松江区,上海市松江区新桥镇新镇街999弄997号1-2层,,
上海市,维乐口腔 维乐怡门诊,上海市-浦东新区,上海市浦东新区孙建路480弄25-31号1层,,
上海市,上海艾德口腔门诊部有限公司,上海市-静安区,上海市静安区场中路1999-3号,,
上海市,上海华尔康口腔医院,上海市-松江区,上海市松江区乐都路188弄1-6号,,
上海市,华尔康口腔（宝山殷高西路店）,上海市-宝山区,上海市宝山区高逸路7-29号1幢203、205、206、207室,,
上海市,华尔康口腔（松江泗泾店）,上海市-松江区,上海市松江区泗泾镇泗凤公路与横港公路交叉口栋200米,,
上海市,华尔康口腔（宝山总院）,上海市-宝山区,宝山区年吉路100弄12号301、302、303、304、305,,
上海市,华尔康口腔（虹口福鑫店）,上海市-虹口区,上海市虹口区东宝兴路915号底层、二层,,
上海市,华尔康口腔（闵行田林路店）,上海市-闵行区,上海市闵行区田林路1449号,,
上海市,上海久翎口腔门诊部有限公司,上海市-嘉定区,上海市嘉定区柳湖路299弄5号101室、102室,,
上海市,维乐口腔 杨浦医院,上海市-杨浦区,上海市杨浦区翔殷路999号3号楼5层,,
上海市,维乐口腔 美维馨门诊,上海市-普陀区,上海市普陀区远景路662号万业远景大厦B座2楼202-206,,
上海市,华尔康口腔(青浦总院),上海市-青浦区,上海市青浦区青湖路788号,,
上海市,维乐口腔 万盛门诊,上海市-长宁区,上海市长宁区定西路467号（近新华路）,,
上海市,平文口腔,上海市-浦东新区,浦东新区惠南镇靖海路539号2层、541号2层、543号2层、545号1-2层,,
上海市,华尔康口腔（松江车墩店）,上海市-松江区,上海市松江区车墩镇影视路55-59号,,
